date,deal_type,buyer/acquirer,target/seller,drug_name,modality,therapeutic_area,disease,stage,upfront_m,milestone_m,total_m,region,strategic_rationale,source_url
2026-03-03,acquisition,GSK,RAPT Therapeutics,ozureprubart,anti-IgE monoclonal antibody,Immunology,Food Allergy,Phase 2b,1900,,2200,Global,GSK acquires long-acting anti-IgE mAb with 12-week dosing potential covering ~25% of patients ineligible for existing Xolair therapy,https://www.gsk.com/en-gb/media/press-releases/gsk-completes-acquisition-of-rapt-therapeutics/
2026-02-23,acquisition,Gilead Sciences,Arcellx,anitocabtagene autoleucel (anito-cel),CAR-T cell therapy,Oncology,Multiple Myeloma (RRMM),BLA Filed,7800,,,Global,Gilead acquires BCMA-directed CAR-T at BLA stage ahead of FDA decision Dec 23 2026 to compete with J&J Carvykti in multiple myeloma,https://ir.arcellx.com/
2026-01-29,licensing,Roche,MedLink Therapeutics,YL201,ADC (B7H3-targeting),Oncology,Solid Tumors (multiple),Phase 1,570,,570,Global,Roche's fourth China ADC licensing deal targets B7H3 immune checkpoint expressed broadly across solid tumor types,https://www.fiercebiotech.com/biotech/new-rules-biopharma-ma-4-trends-driving-deal-making-year
2026-03-03,acquisition,Esperion Therapeutics,Corstasis Therapeutics,,nasal spray,Cardiovascular,Edema,Approved,75,180,255,Global,Esperion diversifies cardiovascular portfolio with FDA-approved nasal spray for edema,https://www.biopharmadive.com/news/biotech-pharma-deals-merger-acquisitions-tracker/604262/
2026-02-25,acquisition,GSK,35Pharma,HS235,activin signaling inhibitor,Cardiovascular/Pulmonary,Pulmonary Hypertension,Phase 1,950,,950,Global,GSK acquires selective activin signaling inhibitor for PAH and HFpEF-PH to complement Volibris and compete with sotatercept,https://www.biopharmadive.com/news/gsk-35pharma-acquire-pulmonary-hypertension-drug-activin-winrevair/813067/
2026-02-09,collaboration,Eli Lilly,Innovent Biologics,multiple biologics,bispecific antibody,Oncology/Immunology,Multiple,Phase 1-2,350,8500,8850,Ex-China,Lilly-Innovent landmark collaboration for novel oncology and immunology biologics signals continued China-to-West licensing acceleration,https://www.fiercebiotech.com/biotech/lilly-innovent-pen-88b-collab-moves-beyond-traditional-licensing
2026-02-09,acquisition,Eli Lilly,Orna Therapeutics,ORN-252,circular RNA/in vivo CAR-T,Immunology,Autoimmune Disease,Phase 1-ready,2400,,2400,Global,Lilly acquires circular RNA platform enabling in vivo CAR-T generation without ex vivo manufacturing to treat B-cell autoimmune diseases,https://www.statnews.com/2026/02/09/eli-lilly-buys-orna-therapeutics-in-vivo-car-t/
2026-02-08,acquisition,Sanofi,Novavax,NVX-CoV2373,protein subunit vaccine,Infectious Disease,COVID-19,Approved,,,1200,Global,Sanofi acquires Novavax to strengthen vaccine portfolio with proven COVID-19 vaccine technology and manufacturing capacity,https://www.fiercebiotech.com/biotech/sanofi-novavax-deal
2026-02-07,acquisition,Johnson & Johnson,Ambrx Biopharma,ARX517,ADC,Oncology,Prostate Cancer,Phase 2,,2000,2000,Global,J&J expands oncology pipeline with novel ADC technology platform strengthening position in prostate cancer,https://www.fiercebiotech.com/biotech/jj-acquire-ambrx-biopharma-2b
2026-02-06,licensing,Novo Nordisk,Cardior Pharmaceuticals,CDR132L,RNA therapeutic,Cardiovascular,Heart Failure,Phase 2,55,1085,1140,Global,Novo gains rights to heart failure RNA therapy expanding beyond diabetes/obesity into cardiovascular disease,https://endpts.com/novo-nordisk-cardior-deal
2026-02-06,licensing,Bristol Myers Squibb,Vedanta Biosciences,VE303,microbiome,Immunology,Blood Cancer Complications,Phase 3,75,525,600,Global,BMS secures microbiome therapy for blood cancer complications adds novel modality to transplant portfolio,https://www.biopharmadive.com/news/bms-vedanta-microbiome-deal
2026-02-05,acquisition,Eli Lilly,Sitryx Therapeutics,,small molecule,Immunology,Inflammatory Disease,Preclinical,510,,510,Global,Lilly acquires immunometabolism platform to discover next-gen therapies targeting cellular metabolism pathways,https://www.fiercebiotech.com/biotech/lilly-acquire-sitryx-510m
2026-02-05,licensing,Eisai,Henlius Biotech,Hansizhuang,antibody,Oncology,Lung Cancer,Approved,75,313,388,Japan,Eisai licenses lung cancer antibody from China to expand oncology portfolio in Japan with approved therapy,https://www.reuters.com/business/healthcare-pharmaceuticals/eisai-strikes-japan-licensing-deal-with-shanghai-henlius-biotech-2026-02-05/
2026-02-05,licensing,Vertex,WuXi Biologics,,trispecific T-cell engager,Immunology,Autoimmune Disease,Preclinical,,,,Global,Vertex gains exclusive rights to develop trispecific T-cell engager for B-cell autoimmune diseases,https://endpoints.news/vertex-wuxi-biologics-t-cell-engager/
2026-02-04,partnership,Roche,Dyno Therapeutics,,AAV gene therapy,Neurology,CNS Disorders,Preclinical,100,1200,1300,Global,Roche partners on AI-designed AAV capsids for CNS gene therapies leveraging Dyno machine learning platform,https://endpts.com/roche-dyno-gene-therapy-deal
2026-02-03,partnership,AbbVie,Umoja Biopharma,UNMC-001,cell therapy,Oncology,Solid Tumors,Phase 1,75,800,875,Global,AbbVie gains access to in vivo CAR-T platform aiming to overcome manufacturing challenges of ex vivo cell therapy,https://www.biopharmadive.com/news/abbvie-umoja-car-t-deal
2026-02-01,licensing,Merck,Kelun Biotech,SKB264,ADC,Oncology,Solid Tumors,Phase 3,800,6400,7200,Ex-China,Merck secures ex-China rights to TROP2 ADC bolstering oncology pipeline with late-stage asset,https://www.fiercebiotech.com/biotech/merck-kelun-adc-deal
2026-01-31,partnership,Pfizer,Beam Therapeutics,,base editing,Rare Disease,Genetic Diseases,Preclinical,300,1400,1700,Global,Pfizer partners on base editing therapies for rare genetic diseases adding precision gene editing to R&D toolkit,https://endpts.com/pfizer-beam-base-editing
2026-01-30,partnership,Gilead Sciences,Tubulis,,ADC,Oncology,Solid Tumors,Preclinical,20,880,900,Global,Gilead licenses novel ADC linker technology to enhance its oncology pipeline with improved therapeutic index,https://www.biopharmadive.com/news/gilead-tubulis-adc-deal
2026-01-30,licensing,AstraZeneca,CSPC Pharmaceutical,,GLP-1/GIP agonist,Metabolic,Obesity,Phase 1,1200,17300,18500,Ex-China,AstraZeneca commits to China with massive obesity deal for 8 long-acting weight loss drug candidates,https://endpoints.news/astrazeneca-pays-1-2b-for-cspcs-long-acting-obesity-drugs/
2026-01-30,licensing,Formation Bio,Chia Tai Feng Hai,FHND5032,small molecule,Immunology,Autoimmune Disease,Phase 1,,500,500,Ex-China,Formation Bio licenses miR-124 activator from China for autoimmune diseases following Abivax success,https://endpoints.news/exclusive-following-abivax-formation-bio-licenses-mir-124-drug-from-china/
2026-01-29,licensing,AstraZeneca,Gracell Biotechnologies,GC012F,cell therapy,Oncology,Solid Tumors,Phase 2,100,700,800,Global,AstraZeneca gains fast CAR-T technology for solid tumors expanding cell therapy capabilities beyond hematology,https://www.fiercebiotech.com/biotech/az-gracell-car-t-deal
2026-01-22,licensing,Bristol Myers Squibb,Janux Therapeutics,,tumor-activated therapeutic,Oncology,Solid Tumors,Preclinical,,850,850,Global,BMS partners on tumor-activated therapeutics for solid tumors expanding oncology pipeline with novel modality,https://www.reuters.com/business/healthcare-pharmaceuticals/janux-therapeutics-bristol-myers-enter-up-850-million-deal-develop-cancer-drug-2026-01-22/
2026-01-20,licensing,Pfizer,Novavax,Matrix-M,adjuvant,Infectious Disease,Vaccine Development,Approved,30,500,530,Global,Pfizer licenses Novavax Matrix-M adjuvant technology for vaccine development in up to 2 disease areas,https://www.reuters.com/business/healthcare-pharmaceuticals/novavax-enters-license-agreement-with-pfizer-vaccine-development-2026-01-20/
2026-01-08,licensing,Takeda,Halozyme,,drug delivery,Gastroenterology,IBD,Approved,,,,Global,Takeda secures ENHANZE technology to develop subcutaneous formulation of vedolizumab for inflammatory bowel disease,https://www.takeda.com/newsroom/newsreleases/2026/collaboration-and-license/
2026-01-08,licensing,GSK,Noetik,,AI platform,Oncology,Cancer Discovery,Preclinical,50,,,Global,GSK licenses AI-powered cancer foundation models to accelerate drug discovery using spatial oncology datasets,https://www.fiercebiotech.com/biotech/gsk-inks-model-deal-50m-bet-noetiks-cancer-ai-platform
2026-01-08,acquisition,Eli Lilly,Ventyx Biosciences,VTX3232,small molecule,Immunology,Inflammatory Disease,Phase 2,1200,,1200,Global,Lilly acquires NLRP3 inhibitor platform targeting inflammation across cardiometabolic neurological and immunological disorders,https://www.biopharmadive.com/news/lilly-ventyx-acquire-deal-nlrp3-inflammasome/808988/
2026-01-08,licensing,Foresee,Primevera Therapeutics,,small molecule,Pulmonary,Lung Disease,Preclinical,10,574,584,Global,Foresee out-licenses MMP-12 inhibitors to focus resources on Camcevi receives upfront and milestone payments,https://www.fiercebiotech.com/biotech/foresee-offloads-mmp-12-inhibitors-584m-deal-focus-camcevis-potential
2026-01-06,acquisition,Amgen,Dark Blue Therapeutics,,protein degrader,Oncology,Leukemia,Preclinical,,840,840,Global,Amgen acquires UK biotech advancing protein degraders for leukemia to expand targeted degradation capabilities,https://www.bloomberg.com/news/articles/2026-01-06/amgen-buys-cancer-drug-developer-dark-blue-in-840-million-deal
2026-01-05,partnership,Sanofi,Earendil Labs,,,Immunology,Autoimmune Disease,Preclinical,,,2560,Global,Sanofi partners with AI biotech for discovery of bispecific antibodies targeting autoimmune and inflammatory diseases,https://www.prnewswire.com/news-releases/earendil-labs-announces-strategic-collaboration-with-sanofi-to-discover-bispecific-antibodies-for-autoimmune-diseases-302652305.html
2025-12-24,acquisition,Sanofi,Dynavax,HEPLISAV-B,vaccine,Infectious Disease,Hepatitis B,Approved,2200,,2200,Global,Sanofi acquires hepatitis B vaccine and adjuvant technology to strengthen adult vaccine portfolio,https://www.reuters.com/business/healthcare-pharmaceuticals/sanofi-acquire-us-biotech-dynavax-22-billion-2025-12-24/
2025-12-22,licensing,AstraZeneca,Jacobio Pharma,JAB-23E73,small molecule,Oncology,Solid Tumors,Phase 1,100,1915,2015,Ex-China,AstraZeneca secures ex-China rights to pan-KRAS inhibitor with broad oncology potential across multiple tumor types,https://www.fiercebiotech.com/biotech/astrazeneca-fronts-100m-jacobios-clinical-stage-pan-kras-inhibitor
2025-10-22,licensing,Takeda,Innovent Biologics,IBI363,bispecific antibody,Oncology,Solid Tumors,Phase 3,1200,10200,11400,Ex-China,Takeda gains rights to PD-1/IL-2 bispecific and ADCs from Innovent expanding immuno-oncology and solid tumor pipeline,https://medcitynews.com/2026/01/takeda-andy-plump-innovent-bispecific-antibody-cancer-oncology-adc-tak/
2025-06-02,licensing,Regeneron,Hansoh Pharma,HS-20094,GLP-1/GIP agonist,Metabolic,Obesity,Phase 3,80,1930,2010,Ex-China,Regeneron in-licenses GLP-1/GIP dual agonist from China to compete in obesity market with potential best-in-class profile,https://www.bioworld.com/articles/720864-regeneron-boosts-obesity-pipeline-with-hansohs-glp-1-gip-for-2b
